
|PESTERLOG|
rose|TT|Wygląda na to że zwiększenie rozmiaru twojego pokoju kosztowało nas trochę "Budujących Rudymentów"
rese|TT|Ale położenie obróbki nie spowodowało żadnych kosztów.
rose|TT|Wygląa na to że niektóre obiekty są darmówkami, prawdopodobnie by pomóc ci ustawić grę.
john|EB|wow, ok.
john|EB|co one robią?
rose|TT|Wygląda na to że to ty musisz tego się dowiedzieć.
rose|TT|Jedyne co ja mogę robić to rzucać rzeczamiw twoim domu, i wygląda na to że nimi ruszać.
john|EB|jak ja mogę ruszać rzeczami? to wygląda fajnie!
rose|TT|Nie myślę że możesz jako klient. Będziez musiał zainstalować aplikację serwera.
rose|TT|Powinieneś otrzymać obię w oddzielnych kopertach. Ja teraz mam obie pracujące na moim komputerze.
john|EB|co??
rose|TT|Czy dostałeś inną kopertę w listach?
john|EB|nie!
rose|TT|Gdy zainstalujesz serwer i ustalisz połączenie, Jestem pewna że będziesz mógł manipulować moim otoczeniem w ten sam sposób.
rose|TT|Czy jesteś pewny że nic nie dostałeś?
john|EB|oh chłopie.
john|EB|myślę że znam jedyne miejsce gdzie ona może być.
